bike_age,kms_clipped,power_bhp_clipped,mileage_kmpl_clipped,cc,owner_first,owner_fourth_or_more,owner_second,owner_third,brand_Bajaj,brand_Benelli,brand_Harley-Davidson,brand_Hero,brand_Honda,brand_Hyosung,brand_Jawa,brand_Kawasaki,brand_Ktm,brand_Other,brand_Royal,brand_Suzuki,brand_Triumph,brand_Tvs,brand_Um,brand_Yamaha,price
8,17000.0,19.0,35.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,63500
9,50000.0,19.8,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,115000
13,14795.0,28.0,30.0,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,300000
8,28.0,34.5,28.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100000
5,2000.0,30.0,,330.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,197500
13,24561.0,25.0,35.0,200.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,63400
9,19718.0,17.0,65.0,180.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,55000
5,40.0,20.21,40.0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,120000
7,1350.0,42.9,25.0,390.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,198000
11,58.0,13.0,58.0,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,40000
7,25000.0,19.8,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,136900
9,26240.0,24.5,32.0,410.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,112000
8,18866.0,19.8,40.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,110000
7,65.0,10.0,65.0,125.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,50000
6,30.0,18.0,30.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,131000
7,42.0,23.2,42.0,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,53000
6,12634.0,19.8,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,160000
10,37.0,19.8,37.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,121000
9,13000.0,19.8,37.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,111000
6,28000.0,19.8,40.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,131500
9,60.0,14.0,60.0,150.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,52000
7,23350.0,19.0,37.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,115000
11,65.0,14.85,65.0,150.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,47000
9,9551.0,19.0,53.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,52000
7,23522.0,19.8,37.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,190000
10,25000.0,19.8,40.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,67000
13,12000.0,12.0,55.0,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,28000
10,10168.0,13.0,45.0,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,44000
7,7000.0,19.8,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,141500
9,12000.0,19.8,35.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,110000
5,42.0,23.2,42.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,118000
9,26683.0,21.0,38.0,,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,65000
7,6900.0,24.8,35.0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,148000
6,15000.0,13.0,45.0,150.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,48000
8,58.0,13.0,58.0,150.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,47475
